title,year,status,imdb_id,subtitle_available,estimated_word_count,dialogue_line_count,avg_dialogue_length,longest_monologue_words,unique_character_count,sentiment_mean,sentiment_std,sentiment_peak,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,humor_indicator,romance_indicator,violence_indicator,short_punchy_count,short_punchy_density,rare_proper_noun_count,sentiment_spike
The Big Lebowski,1998,success,tt0118715,True,12447.0,1768.0,7.040158371040724,19.0,0.0,-0.002327475503380481,0.08952863667598382,1.0,0.08993212669683258,0.19513574660633484,44.37987055871087,0.2653546427156254,5.773191094619666,1.981244221371021,3.3020737022850346,4.358737287016246,524.0,0.29638009049773756,371.0,1.0
Donnie Darko,2001,success,tt0246578,True,7848.0,1038.0,7.5606936416184976,25.0,0.0,-0.008959270004989327,0.13611217199710562,1.0,0.07707129094412331,0.21579961464354527,14.087656529516995,0.34973166368515207,6.523690773067331,0.8944543828264758,7.6028622540250455,4.472271914132379,248.0,0.23892100192678228,260.0,1.1666666666666667
Fight Club,1999,success,tt0137523,True,12862.0,1807.0,7.117874930824571,18.0,2.0,-0.013581451978291068,0.1184362063460139,1.0,0.11621472053126729,0.2097399003873824,13.761467889908257,0.3105774419859687,5.230581537210248,1.2142471667566108,3.3729087965461417,14.031300593631947,527.0,0.2916436081903708,403.0,1.1666666666666667
Office Space,1999,success,tt0151804,True,9512.0,1579.0,6.024065864471185,14.0,3.0,0.0004318248776766826,0.1237536768213207,1.0,0.030398986700443317,0.1785940468651045,11.576626240352812,0.2513781697905182,4.772704465629704,0.18375597206909225,2.0213156927600147,0.735023888276369,604.0,0.3825205826472451,171.0,1.0
Blade Runner,1982,success,tt0083658,True,4110.0,800.0,5.1375,17.0,4.0,-0.009017817252192252,0.18691249378831623,1.0,0.01625,0.235,1.1933174224343677,0.39697692919649963,4.164133738601824,1.1933174224343677,3.579952267303103,3.182179793158314,330.0,0.4125,208.0,1.0
The Thing,1982,success,tt0084787,True,4504.0,632.0,7.1265822784810124,18.0,0.0,-0.006547127920685255,0.10042835211230872,1.0,0.11867088607594936,0.21518987341772153,14.661654135338345,0.31466165413533836,5.3364928909952605,0.7518796992481204,1.1278195488721805,10.526315789473683,200.0,0.31645569620253167,138.0,1.0
The Shawshank Redemption,1994,success,tt0111161,True,11788.0,1801.0,6.545252637423654,20.0,0.0,0.0009174216999934739,0.12902759176499226,1.0,0.06218767351471405,0.15880066629650194,19.053202403634767,0.30177341345449216,5.826989619377162,1.172504763300601,3.517514289901803,5.862523816503004,665.0,0.36923931149361466,381.0,1.125
Scott Pilgrim vs. the World,2010,success,tt0446029,True,11291.0,1996.0,5.656813627254509,16.0,0.0,-0.0037025981978386787,0.14281771267153026,1.0,0.09168336673346693,0.2409819639278557,6.617420744844567,0.24592182209910743,5.2200647249190935,1.077254539858418,6.001846722068328,6.463527239150507,697.0,0.34919839679358716,291.0,1.1666666666666667
Clerks,1994,success,tt0109445,True,14361.0,1575.0,9.118095238095238,36.0,0.0,-0.0008808718514600868,0.0909962152494181,1.0,0.1111111111111111,0.3136507936507936,18.30110497237569,0.24263351749539594,6.235779418150239,1.6114180478821363,5.294659300184162,2.7624309392265194,211.0,0.13396825396825396,374.0,1.0
Pi,1998,success,tt0138704,True,3942.0,678.0,5.814159292035399,13.0,0.0,-0.005588401274241982,0.12062421610603771,1.0,0.10324483775811209,0.21091445427728614,9.39769329346433,0.4246048697137975,4.551963048498846,0.0,1.7086715079026058,1.2815036309269543,217.0,0.3200589970501475,190.0,1.0
