title,year,star_power,director,runtime,original_language,release_month,release_season,is_adaptation,n_cast
Avatar,2009,6.734366666666666,James Cameron,162.0,en,12.0,Winter,0,67
Avengers: Endgame,2019,5.537866666666666,Joe Russo,181.0,en,4.0,Spring,1,105
Avatar: The Way of Water,2022,6.734366666666666,James Cameron,192.0,en,12.0,Winter,0,64
Titanic,1997,4.774566666666667,James Cameron,194.0,en,12.0,Winter,1,117
Star Wars: The Force Awakens,2015,3.0287666666666664,J.J. Abrams,136.0,en,12.0,Winter,0,99
Avengers: Infinity War,2018,6.019266666666667,Joe Russo,149.0,en,4.0,Spring,1,69
Spider-Man: No Way Home,2021,7.2149,Jon Watts,148.0,en,12.0,Winter,1,63
Inside Out 2,2024,1.7497333333333334,Kelsey Mann,97.0,en,6.0,Summer,0,32
Jurassic World,2015,4.14,Colin Trevorrow,124.0,en,6.0,Summer,0,53
The Lion King (2019),2019,2.3549666666666664,Jon Favreau,118.0,en,7.0,Summer,0,20
The Avengers,2012,5.537866666666666,Joss Whedon,143.0,en,4.0,Spring,1,112
Furious 7,2015,6.6537,James Wan,138.0,en,4.0,Spring,0,49
Frozen II,2019,2.615466666666667,Jennifer Lee,103.0,en,11.0,Fall,0,64
Top Gun: Maverick,2022,7.139033333333333,Joseph Kosinski,131.0,en,5.0,Spring,0,45
Barbie,2023,6.3640333333333325,Greta Gerwig,114.0,en,7.0,Summer,0,166
Avengers: Age of Ultron,2015,5.6186333333333325,Joss Whedon,141.0,en,4.0,Spring,1,75
Black Panther,2018,3.5996333333333332,Ryan Coogler,135.0,en,2.0,Winter,1,67
Harry Potter and the Deathly Hallows – Part 2,2011,4.502533333333333,David Yates,130.0,en,7.0,Summer,1,106
Star Wars: The Last Jedi,2017,2.943466666666667,Rian Johnson,152.0,en,12.0,Winter,0,112
Aquaman,2018,5.734733333333334,James Wan,143.0,en,12.0,Winter,1,53
Incredibles 2,2018,1.7746000000000002,Brad Bird,118.0,en,6.0,Summer,0,84
The Fate of the Furious,2017,10.081466666666666,F. Gary Gray,136.0,en,4.0,Spring,0,87
Frozen,2013,2.372666666666667,Jennifer Lee,102.0,en,11.0,Fall,0,60
Minions,2015,4.891866666666667,Kyle Balda,91.0,en,6.0,Summer,0,51
Captain America: Civil War,2016,8.233333333333333,Joe Russo,147.0,en,4.0,Spring,1,104
Beauty and the Beast (2017),2017,4.472,Bill Condon,129.0,en,3.0,Spring,1,139
Rogue One: A Star Wars Story,2016,2.900766666666667,Gareth Edwards,133.0,en,12.0,Winter,0,172
