title,year,in_franchise,collection_name,sequel_number,n_in_collection,is_animated_tmdb,primary_genre
Avatar,2009,1,Avatar Collection,0,5,0,Science Fiction
Avengers: Endgame,2019,1,The Avengers Collection,3,6,0,Adventure
Avatar: The Way of Water,2022,1,Avatar Collection,1,5,0,Action
Titanic,1997,0,,0,0,0,Drama
Star Wars: The Force Awakens,2015,1,Star Wars Collection,6,9,0,Adventure
Avengers: Infinity War,2018,1,The Avengers Collection,2,6,0,Adventure
Spider-Man: No Way Home,2021,1,Spider-Man (MCU) Collection,2,4,0,Action
Inside Out 2,2024,1,Inside Out Collection,1,2,1,Animation
Jurassic World,2015,1,Jurassic Park Collection,3,7,0,Adventure
The Lion King (2019),2019,1,The Lion King (Reboot) Collection,0,2,1,Adventure
The Avengers,2012,1,The Avengers Collection,0,6,0,Science Fiction
Furious 7,2015,1,The Fast and the Furious Collection,6,12,0,Action
Frozen II,2019,1,Frozen Collection,1,3,1,Family
Top Gun: Maverick,2022,1,Top Gun Collection,1,2,0,Action
Barbie,2023,0,,0,0,0,Comedy
Avengers: Age of Ultron,2015,1,The Avengers Collection,1,6,0,Action
Black Panther,2018,1,Black Panther Collection,0,2,0,Action
Harry Potter and the Deathly Hallows – Part 2,2011,1,Harry Potter Collection,7,8,0,Adventure
Star Wars: The Last Jedi,2017,1,Star Wars Collection,7,9,0,Adventure
Aquaman,2018,1,Aquaman Collection,0,2,0,Action
Incredibles 2,2018,1,The Incredibles Collection,1,3,1,Action
The Fate of the Furious,2017,1,The Fast and the Furious Collection,7,12,0,Action
Frozen,2013,1,Frozen Collection,0,3,1,Animation
Minions,2015,1,Minions Collection,0,3,1,Family
Captain America: Civil War,2016,1,Captain America Collection,2,4,0,Adventure
Beauty and the Beast (2017),2017,0,,0,0,0,Family
Rogue One: A Star Wars Story,2016,0,,0,0,0,Action
Finding Dory,2016,1,Finding Nemo Collection,1,2,1,Adventure
Iron Man 3,2013,1,Iron Man Collection,2,3,0,Action
Toy Story 4,2019,1,Toy Story Collection,3,5,1,Family
Doctor Strange in the Multiverse of Madness,2022,1,Doctor Strange Collection,1,2,0,Fantasy
Thor: Love and Thunder,2022,1,Thor Collection,3,4,0,Fantasy
Ant-Man and the Wasp: Quantumania,2023,1,Ant-Man Collection,2,3,0,Action
Shrek Forever After,2010,1,Shrek Collection,3,5,1,Comedy
Shrek the Third,2007,1,Shrek Collection,2,5,1,Fantasy
Shrek 2,2004,1,Shrek Collection,1,5,1,Animation
Shrek,2001,1,Shrek Collection,0,5,1,Animation
Pirates of the Caribbean: Dead Men Tell No Tales,2017,1,Pirates of the Caribbean Collection,4,5,0,Adventure
Pirates of the Caribbean: On Stranger Tides,2011,1,Pirates of the Caribbean Collection,3,5,0,Adventure
