title,year,realized_circ,n_quotes
101 Dalmatians,1961,7.609661202658297,4
47 Ronin,2013,6.6053520309365465,4
500 Days of Summer,2009,6.730542574915361,4
A Bug's Life,1998,8.820021922361022,4
A Clockwork Orange,1971,7.861247860881669,4
A Ghost Story,2017,4.119238632891554,4
A Separation,2011,5.466269061853598,4
Akira,1988,6.008300082743009,4
Aladdin,1992,5.595202956999642,4
Amelie,2001,7.351087594026317,4
American Psycho,2000,9.00168051013336,4
Amsterdam,2022,3.2149919524613755,3
Annihilation,2018,4.580297536546987,4
Ant-Man,2015,3.9379062363781405,4
Apollo 13,1995,8.63193831303046,4
Aquaman,2018,5.903448313934814,4
Avatar,2009,10.831861655548392,4
Avatar: The Way of Water,2022,9.060583698336233,4
Avengers: Age of Ultron,2015,11.434254970456678,4
Avengers: Infinity War,2018,10.302678643077503,4
Babylon,2022,5.989236723032512,4
Barbie,2023,9.045283610101292,4
Batman Begins,2005,6.478193957851523,4
Batman v Superman: Dawn of Justice,2016,6.083639125984423,4
Battlefield Earth,2000,4.964389044929889,4
Beauty and the Beast (1991),1991,6.520512888695247,4
Beauty and the Beast (2017),2017,7.238734337936616,4
Ben-Hur,2016,6.7912214627261855,1
Big Hero 6,2014,10.025642966795546,4
Birdman,2014,6.10421458323971,4
Black Panther: Wakanda Forever,2022,5.002046576899531,4
Black Widow,2021,7.9421673175789715,4
Blade Runner,1982,6.47241301109879,4
Booksmart,2019,5.13824146069235,4
Brazil,1985,4.827556825245275,4
Brick,2005,4.982721596150969,4
Bumblebee,2018,8.289907486685925,4
Burning,2018,7.471064225068999,4
Captain America: Civil War,2016,10.004534690887686,4
Captain America: The First Avenger,2011,5.2750988362023525,4
Captain America: The Winter Soldier,2014,8.650548740499536,4
Captain Marvel,2019,9.782062235706878,4
Cars 2,2011,11.494864580199014,4
Cars 3,2017,5.548673790372809,4
Cats,2019,4.5218686166155075,4
Catwoman,2004,7.150643142892544,4
Charlotte's Web,2006,2.3150170212419448,4
Children of Men,2006,7.504425524009939,4
Chronicle,2012,7.824100435724951,4
Cinderella,1950,10.365639836178833,4
City of God,2002,6.67710528448666,4
Cleopatra,1963,6.806140895078793,4
Clerks,1994,9.434483496004784,4
Coco,2017,9.99688045040454,3
Coherence,2013,4.742165466248378,4
Dark City,1998,6.908129486523255,4
Deadpool,2016,6.735641623869143,4
Deadpool 2,2018,6.88039814086278,4
Despicable Me,2010,5.868890031857622,4
Despicable Me 2,2013,7.531487745361239,4
Despicable Me 3,2017,2.2364347800860997,4
District 9,2009,5.913144110480684,4
Doctor Strange in the Multiverse of Madness,2022,5.739770582258818,4
Donnie Brasco,1997,6.368097046195882,4
Donnie Darko,2001,8.341033350282173,4
Dredd,2012,8.352720039756845,4
Drive,2011,8.401422340791717,4
Dune,2021,3.556194410802886,4
Dune: Part Two,2024,5.868037307713973,4
Edge of Tomorrow,2014,9.211817292266447,3
Eighth Grade,2018,3.0015151529988615,3
Elemental,2023,7.540019288070024,4
Empire Records,1995,9.820130241632159,4
Eternal Sunshine of the Spotless Mind,2004,8.590088701926897,4
Eternals,2021,6.4910904774795,4
Ex Machina,2014,8.82096242367299,4
Fear and Loathing in Las Vegas,1998,7.567093595533596,4
Fight Club,1999,8.365804959361192,4
Final Fantasy: The Spirits Within,2001,6.329704955751513,4
Finding Dory,2016,9.630339199615447,4
Finding Nemo,2003,8.79497643168877,1
Frances Ha,2012,9.077615782551653,4
Frozen II,2019,6.218459841240324,4
Furious 7,2015,11.074769825952409,4
Gattaca,1997,8.250592635123098,4
Get Out,2017,9.37843345716392,4
Godzilla,2014,7.6620493479948495,4
Godzilla vs. Kong,2021,8.882945123838075,4
Godzilla x Kong: The New Empire,2024,7.316141049640051,4
Godzilla: King of the Monsters,2019,6.167808067105336,4
Good Time,2017,6.684169636453444,4
Green Lantern,2011,5.017090701184354,4
Grindhouse,2007,6.295160051571433,4
Guardians of the Galaxy,2014,5.326244986023939,4
Guardians of the Galaxy Vol. 2,2017,7.911723941248546,4
Guardians of the Galaxy Vol. 3,2023,6.098315393256114,4
Hackers,1995,7.399011322753573,4
Harold and Maude,1971,7.115582126184454,1
Harry Potter and the Deathly Hallows – Part 2,2011,7.277417683930961,4
Heathers,1988,9.480561642579458,4
Heaven's Gate,1980,3.092167524743284,4
Her,2013,11.952940567963111,4
Hereditary,2018,11.054630351736137,2
Hocus Pocus,1993,14.04662307257814,1
Hop,2011,7.917388355480564,4
Horton Hears a Who!,2008,8.996073772553812,4
How to Train Your Dragon,2010,10.083199163734307,4
How to Train Your Dragon 2,2014,10.534030779325468,4
Ice Age: Collision Course,2016,9.340782365100905,4
Ice Age: Continental Drift,2012,2.4021257638240843,4
Ice Age: Dawn of the Dinosaurs,2009,3.4259582350244773,4
Ice Age: The Meltdown,2006,6.592957145187125,4
Idiocracy,2006,4.5614530626601475,4
