title,script_available,estimated_word_count,dialogue_percentage,action_description_percentage,unique_character_count,avg_dialogue_length,longest_monologue_words,scene_count,avg_scene_length_words,sentiment_mean,sentiment_std,emotional_arc_type,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,named_entity_density,humor_indicator,romance_indicator,violence_indicator,script_genre_primary,script_genre_secondary
Avatar,True,14000,35.0,65.0,28,8.0,85,72,194.0,0.08,0.18,rise,0.22,0.12,4,0.35,7.2,8.5,3.0,6.0,9.0,Sci-Fi,Action
Avengers: Endgame,True,18500,58.0,42.0,52,11.0,180,85,218.0,0.02,0.35,fall-rise,0.28,0.18,2,0.48,10.1,12.3,7.0,2.0,8.0,Action,Adventure
Avatar: The Way of Water,True,13800,33.0,67.0,32,7.8,92,78,177.0,0.12,0.2,rise,0.2,0.11,3,0.34,6.9,9.1,4.0,7.0,8.0,Sci-Fi,Action
Titanic,True,19200,62.0,38.0,48,12.5,165,68,282.0,-0.05,0.42,fall-rise,0.25,0.22,2,0.52,11.3,10.2,5.0,9.0,6.0,Drama,Romance
Star Wars: The Force Awakens,True,15800,48.0,52.0,38,10.2,128,75,210.0,0.1,0.26,rise,0.26,0.2,1,0.42,8.8,11.5,6.0,3.0,7.0,Sci-Fi,Action
Avengers: Infinity War,True,17200,52.0,48.0,48,10.5,195,82,210.0,-0.12,0.38,fall,0.3,0.19,2,0.46,9.8,13.1,6.0,1.0,9.0,Action,Adventure
Spider-Man: No Way Home,True,16500,55.0,45.0,42,10.8,152,79,208.0,0.06,0.32,rise-fall,0.27,0.17,2,0.44,9.5,12.2,7.0,4.0,7.0,Action,Adventure
Inside Out 2,True,12500,70.0,30.0,18,9.5,108,65,192.0,0.15,0.38,rise-fall,0.32,0.24,0,0.38,7.8,4.2,8.0,1.0,1.0,Animation,Comedy
Jurassic World,True,13900,42.0,58.0,24,9.2,110,71,196.0,0.02,0.28,rise,0.28,0.15,2,0.36,7.5,7.8,4.0,5.0,8.0,Action,Adventure
The Lion King (2019),True,11800,65.0,35.0,22,8.8,95,58,204.0,0.08,0.35,fall-rise,0.28,0.19,0,0.4,7.6,3.5,6.0,3.0,6.0,Animation,Drama
The Avengers,True,16800,54.0,46.0,28,11.2,142,77,218.0,0.05,0.3,rise,0.29,0.16,2,0.45,9.6,11.8,7.0,2.0,8.0,Action,Adventure
Furious 7,True,12100,38.0,62.0,22,8.5,98,68,178.0,0.12,0.24,rise,0.31,0.1,4,0.32,6.8,6.2,5.0,4.0,9.0,Action,Adventure
Frozen II,True,11600,68.0,32.0,20,9.2,125,62,187.0,0.18,0.36,rise,0.34,0.26,0,0.39,7.9,4.1,8.0,4.0,3.0,Animation,Comedy
Top Gun: Maverick,True,14200,52.0,48.0,26,10.5,158,73,195.0,0.14,0.28,rise,0.25,0.17,3,0.41,8.9,7.5,5.0,5.0,6.0,Action,Drama
Barbie,True,15400,72.0,28.0,35,10.2,185,64,240.0,0.22,0.32,rise-fall,0.35,0.28,1,0.5,9.8,5.2,9.0,6.0,1.0,Comedy,Fantasy
Avengers: Age of Ultron,True,16500,50.0,50.0,32,10.8,168,80,206.0,-0.02,0.33,rise,0.28,0.15,2,0.44,9.4,11.2,8.0,3.0,8.0,Action,Adventure
Black Panther,True,16200,58.0,42.0,32,10.6,172,76,213.0,0.04,0.34,rise,0.27,0.18,3,0.49,10.2,9.8,5.0,3.0,8.0,Action,Adventure
Harry Potter and the Deathly Hallows – Part 2,True,16795,57.0,43.0,30,9.3,175,88,190.9,0.195,0.242,steady,0.108,0.182,3,0.466,10.66,12.0,7.0,2.9,4.2,Fantasy,
Star Wars: The Last Jedi,True,14784,50.4,49.6,24,11.0,137,62,238.5,0.222,0.303,rise,0.136,0.256,1,0.363,9.63,16.33,4.9,8.0,7.0,Sci-Fi,
Aquaman,False,12695,30.1,69.9,23,9.9,184,43,295.3,-0.077,0.294,steady,0.142,0.24,4,0.327,9.27,10.21,8.0,1.0,6.0,Action,
Incredibles 2,True,15511,68.8,31.2,24,6.3,90,47,330.0,-0.125,0.331,fall,0.08,0.113,0,0.433,10.33,13.63,8.6,3.2,2.5,Animation,
The Fate of the Furious,True,11508,37.2,62.8,20,10.6,168,74,155.5,-0.017,0.309,steady,0.17,0.177,4,0.345,9.45,10.23,2.6,7.9,5.6,Action,
Frozen,True,12300,65.7,34.3,29,9.1,145,62,198.0,0.06,0.35,fall-rise,0.32,0.26,0,0.36,7.8,4.2,4.0,2.0,2.4,Animation,Comedy
Incredibles,True,11612,62.4,37.6,26,9.0,129,71,163.6,-0.107,0.436,fall-rise,0.081,0.216,0,0.311,9.11,8.23,7.7,3.6,3.9,Animation,
Minions,True,11972,57.5,42.5,16,9.3,180,63,190.0,0.017,0.307,steady,0.08,0.241,1,0.492,10.92,12.62,4.5,1.1,1.3,Animation,
Captain America: Civil War,True,16029,34.0,66.0,28,10.5,152,90,178.1,0.211,0.281,rise,0.182,0.122,2,0.471,10.71,14.41,7.8,3.3,8.8,Action,
Beauty and the Beast (2017),False,17838,64.5,35.5,41,7.3,144,49,364.0,0.098,0.36,rise-fall,0.172,0.081,2,0.487,10.87,15.26,5.7,1.0,7.6,Fantasy,
Rogue One: A Star Wars Story,True,13139,50.8,49.2,29,11.5,138,73,180.0,-0.027,0.429,fall-rise,0.182,0.18,2,0.475,10.75,9.79,5.5,3.0,7.6,Sci-Fi,
Finding Dory,False,12627,71.9,28.1,26,8.1,135,69,183.0,0.142,0.269,steady,0.08,0.284,1,0.457,10.57,11.69,4.2,1.0,1.0,Animation,
Iron Man 3,True,16163,42.0,58.0,18,9.8,190,68,237.7,0.191,0.244,rise,0.199,0.131,3,0.25,8.5,9.85,5.8,2.0,8.0,Action,
Toy Story 4,True,12952,73.8,26.2,22,7.4,108,75,172.7,0.347,0.227,steady,0.08,0.221,1,0.353,9.53,12.98,5.4,10.0,2.1,Animation,
Doctor Strange in the Multiverse of Madness,False,12932,51.5,48.5,29,13.1,160,95,136.1,-0.2,0.335,steady,0.08,0.208,4,0.412,10.12,8.27,6.5,1.0,5.7,Action,
Thor: Love and Thunder,True,12825,54.1,45.9,20,11.0,217,54,237.5,-0.219,0.211,steady,0.246,0.118,2,0.348,9.48,6.73,2.4,8.2,10.0,Action,
Ant-Man and the Wasp: Quantumania,True,15201,45.2,54.8,22,13.5,222,54,281.5,0.357,0.222,rise,0.147,0.153,5,0.25,8.5,5.92,7.5,2.0,8.4,Action,
Shrek Forever After,True,11278,70.6,29.4,20,6.9,132,70,161.1,0.193,0.435,fall-rise,0.11,0.196,0,0.428,10.28,5.27,3.9,2.5,4.4,Animation,
Shrek the Third,True,14379,65.9,34.1,16,10.3,156,73,197.0,-0.013,0.263,steady,0.08,0.133,1,0.433,10.33,6.18,5.1,6.1,2.7,Animation,
Shrek 2,True,13219,72.2,27.8,24,12.0,221,69,191.6,0.098,0.382,fall-rise,0.08,0.194,1,0.405,10.05,7.39,7.9,6.7,1.0,Animation,
Shrek,True,12949,58.1,41.9,19,11.2,143,65,199.2,0.228,0.288,steady,0.08,0.333,0,0.443,10.43,9.48,3.6,6.7,1.2,Animation,
Pirates of the Caribbean: Dead Men Tell No Tales,True,17041,64.0,36.0,30,7.9,157,91,187.3,0.141,0.287,steady,0.134,0.159,3,0.36,9.6,10.23,5.3,7.0,6.0,Fantasy,
Pirates of the Caribbean: On Stranger Tides,True,17621,36.2,63.8,43,9.2,165,61,288.9,0.048,0.305,steady,0.189,0.249,1,0.488,10.88,9.11,4.5,3.6,6.6,Fantasy,
Pirates of the Caribbean: Dead Man's Chest,True,16145,51.8,48.2,24,10.9,163,78,207.0,0.02,0.298,steady,0.084,0.188,1,0.451,10.51,17.69,2.3,2.1,3.8,Fantasy,
Pirates of the Caribbean: The Curse of the Black Pearl,True,19806,66.5,33.5,26,11.3,160,68,291.3,-0.123,0.363,fall-rise,0.08,0.074,1,0.576,11.76,12.53,2.5,2.1,5.8,Fantasy,
Toy Story,False,9728,59.8,40.2,28,12.8,243,55,176.9,0.108,0.392,fall-rise,0.08,0.05,1,0.252,8.52,14.7,8.0,7.4,1.0,Animation,
Toy Story 2,True,9608,64.1,35.9,31,8.6,172,70,137.3,0.087,0.244,steady,0.08,0.095,0,0.479,10.79,14.54,6.1,3.6,2.3,Animation,
Toy Story 3,True,9698,70.7,29.3,23,8.7,158,84,115.5,0.09,0.445,fall-rise,0.097,0.213,1,0.29,8.9,9.8,8.9,7.4,2.0,Animation,
Cars,True,12304,69.7,30.3,17,12.1,154,74,166.3,0.338,0.349,steady,0.08,0.259,0,0.477,10.77,14.5,7.1,4.8,1.0,Animation,
Cars 2,True,11577,64.9,35.1,17,11.7,199,68,170.3,0.069,0.192,steady,0.08,0.24,1,0.444,10.44,9.74,4.5,3.3,1.0,Animation,
Cars 3,True,10776,61.4,38.6,20,13.8,188,70,154.0,-0.262,0.272,fall,0.101,0.337,1,0.342,9.42,10.12,6.2,3.5,4.5,Animation,
Monsters University,True,13199,66.4,33.6,29,12.0,212,74,178.4,-0.038,0.318,steady,0.08,0.086,1,0.383,9.83,6.05,7.1,1.0,1.0,Animation,
