title,year,status,imdb_id,subtitle_available,estimated_word_count,dialogue_line_count,avg_dialogue_length,longest_monologue_words,unique_character_count,sentiment_mean,sentiment_std,sentiment_peak,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,humor_indicator,romance_indicator,violence_indicator,short_punchy_count,short_punchy_density,rare_proper_noun_count,sentiment_spike
Avatar,2009,success,tt0499549,True,9332.0,1682.0,5.548156956004756,16.0,0.0,0.0052747688300601,0.1527527046409587,1.0,0.1741973840665873,0.0975029726516052,9.586366057163149,0.3009053790165099,4.6106719367588935,0.7101011894194922,6.035860110065684,10.118941949227764,818.0,0.4863258026159334,299.0,2.0
Avengers: Endgame,2019,success,tt4154796,True,12144.0,2357.0,5.152312261349173,14.0,0.0,-0.0052988260031111,0.1482540566089099,1.0,0.0509121764955451,0.1777683495969452,3.652198342463829,0.2621154656552886,4.610478359908884,0.9832841691248771,4.073605843517348,6.88298918387414,1146.0,0.4862112855324565,416.0,2.0
Avatar: The Way of Water,2022,success,tt1630029,True,9509.0,2359.0,4.030945315811785,15.0,0.0,-0.0141133276783976,0.1758960668716493,1.0,0.2111064010173802,0.1030097498940229,7.260155574762317,0.245980985306828,3.479326747164288,0.5185825410544512,7.260155574762317,11.235955056179774,1533.0,0.6498516320474778,282.0,1.5
Titanic,1997,success,tt0120338,True,11890.0,2100.0,5.661904761904762,19.0,3.0,0.003307670037712,0.1452909330053007,1.0,0.1619047619047619,0.1309523809523809,5.005005005005005,0.2742742742742742,4.543370271303019,0.429000429000429,6.149006149006149,2.002002002002002,1032.0,0.4914285714285714,337.0,1.5
Star Wars: The Force Awakens,2015,success,tt2488496,True,7098.0,1405.0,5.051957295373666,14.0,2.0,-0.0144754533722505,0.1703343948190693,1.0,0.1181494661921708,0.1516014234875445,0.7516913054372337,0.3139564019042846,4.265625,0.2505637684790779,0.7516913054372337,11.776497118516662,726.0,0.5167259786476869,263.0,2.0
Avengers: Infinity War,2018,success,tt4154756,True,8952.0,1726.0,5.186558516801854,13.0,0.0,-0.0240851510405392,0.1631267302193691,1.0,0.0625724217844727,0.160486674391657,4.963271788763153,0.3132817153067302,4.679560899111343,0.1985308715505261,3.772086559459996,10.72066706372841,803.0,0.4652375434530706,296.0,1.3333333333333333
Spider-Man: No Way Home,2021,success,tt10872600,True,12681.0,2171.0,5.841087056655919,14.0,3.0,-0.0039541130858496,0.1351404654378096,1.0,0.0529709811146936,0.2137263933671119,3.4746351633078527,0.2489228630993745,4.7246646795827125,0.2779708130646282,4.447533009034052,6.810284920083391,800.0,0.3684937816674343,356.0,1.5
Inside Out 2,2024,no_subtitle,tt22022452,False,,,,,,,,,,,,,,,,,,,,
Jurassic World,2015,success,tt0369610,True,7384.0,1289.0,5.728471683475562,16.0,0.0,0.0010843694707154,0.132568833107385,1.0,0.1024049650892164,0.1885182311869666,5.3068758652515,0.3458698661744347,4.96570275722932,1.6151361329026304,3.922473465620674,5.3068758652515,500.0,0.3878975950349108,228.0,1.3333333333333333
The Lion King (2019),2019,success,tt6105098,True,7929.0,1537.0,5.158750813272609,14.0,0.0,-0.0082562308652093,0.16270489698087,1.0,0.1450878334417696,0.1522446324007807,0.0,0.2659010600706714,5.449484536082474,0.6625441696113075,7.950530035335689,8.613074204946997,645.0,0.4196486662329213,164.0,1.2
